,country,year,Inflation,Unemployment Rate,avg_wage,exchange_rate,old_age_dependency,pop_tertiary_ed,public_spend,working_age
479,Luxembourg,2003,2.04984030563515,3.6800000667572,62945.5601966319,0.884048,23.5,45.57881288235295,0.851,67.214022221927
480,Luxembourg,2002,2.07408613571644,2.61999988555908,63398.7643685613,1.057559,23.3,45.57881288235295,0.656,67.1411537409843
481,Luxembourg,2001,2.66382110579103,1.80999994277954,62125.4025833651,1.116533,23.1,45.57881288235295,0.637,67.166754997486
482,Luxembourg,2000,3.15076707022592,2.34999990463257,61736.045349325,1.082705,22.9,22.884604,0.339,66.9894545762922
483,Latvia,2020,0.219064904842049,8.10000038146973,29812.7273302086,0.875506,35.5,44.246166,0.551,63.3434327063934
484,Latvia,2019,2.81140920075622,6.30999994277954,28547.4561699105,0.893276,3.2,43.811146,0.551,63.6680137065752
485,Latvia,2018,2.53445424186602,7.40999984741211,27357.2775302411,0.846773,7.752631578947369,41.648941,0.551,63.9833538297088
486,Latvia,2017,2.93036312374664,8.72000026702881,26386.6646958621,0.885206,3.3,41.608852,0.57,64.3287903134874
487,Latvia,2016,0.140633334505292,9.64000034332275,25473.3332432093,0.903421,7.752631578947369,42.097309,0.599,64.8299213844101
488,Latvia,2015,0.174242243625214,9.86999988555908,24062.1277960866,0.901296,31.5,39.870365,0.525,65.3700108671302
489,Latvia,2014,0.620490636732377,10.8500003814697,22206.497121184,0.752728,3.3,39.436726,0.486,65.9241091692434
490,Latvia,2013,-0.0294547782578977,11.8699998855591,20810.650176225,0.753256,3.3,40.700375,0.485,66.5093779485424
491,Latvia,2012,2.25778924374594,15.0500001907349,19860.5330974882,0.778133,3.3,38.724171,0.423,66.9716328372472
492,Latvia,2011,4.37073559939221,16.2099990844727,19086.2412553667,0.713191,3.3,35.106369,0.544,67.2917546644916
493,Latvia,2010,-1.08463595015159,19.4799995422363,19772.4060927504,0.754798,3.3,34.697613,1.068,67.5776964872878
494,Latvia,2009,3.53410672858941,17.5100002288818,20566.9525291188,0.719333,3.4,31.628628,1.435,67.9100588886793
495,Latvia,2008,15.4023191064986,7.73999977111816,22775.2599076275,0.68414,3.4,28.819571,0.448,68.2453782716765
496,Latvia,2007,10.0929775849168,6.05000019073486,22073.0659757635,0.73106,3.4,25.688435,0.335,68.3960778521355
497,Latvia,2006,6.53619908765875,7.03000020980835,17903.7264134579,0.797389,3.5,23.018604,0.352,68.4372310784001
498,Latvia,2005,6.74845027893117,10.0299997329712,16237.124641958,0.803519,3.5,21.733368,0.369,68.433521723031
