year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","146241","The John Marshall Law School","IL","Private not-for-profit","Four or more years"
"2020","445054","Toyota Technological Institute at Chicago","IL","Private not-for-profit","Four or more years"
"2020","149505","Trinity Christian College","IL","Private not-for-profit","Four or more years"
"2020","146755","Trinity College of Nursing & Health Sciences","IL","Private not-for-profit","Four or more years"
"2020","149514","Trinity International University-Illinois","IL","Private not-for-profit","Four or more years"
"2020","144050","University of Chicago","IL","Private not-for-profit","Four or more years"
"2020","145600","University of Illinois Chicago","IL","Public","Four or more years"
"2020","148654","University of Illinois Springfield","IL","Public","Four or more years"
"2020","149587","University of Illinois System Offices","IL","Public","Four or more years"
"2020","145637","University of Illinois Urbana-Champaign","IL","Public","Four or more years"
