year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","126076","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","CA","Undergraduate","135"
"2020","401250","Yo San University of Traditional Chinese Medicine","CA","Graduate","136"
"2020","142832","Adler University","IL","Graduate","1726"
"2020","457527","Ambria College of Nursing","IL","Undergraduate","229"
"2020","142887","American Academy of Art","IL","Undergraduate","169"
"2020","142957","American Islamic College","IL","Graduate","8"
"2020","142957","American Islamic College","IL","Undergraduate","8"
"2020","143084","Augustana College","IL","Graduate","12"
"2020","143084","Augustana College","IL","Undergraduate","2377"
"2020","143118","Aurora University","IL","Graduate","2107"
"2020","143118","Aurora University","IL","Undergraduate","4158"
"2020","145619","Benedictine University","IL","Graduate","1480"
"2020","145619","Benedictine University","IL","Undergraduate","2299"
"2020","443702","Bexley Hall Seabury Western Theological Seminary Federation, Inc.","IL","Graduate","68"
"2020","143288","Blackburn College","IL","Undergraduate","516"
"2020","143297","Blessing Rieman College of Nursing and Health Sciences","IL","Graduate","19"
"2020","143297","Blessing Rieman College of Nursing and Health Sciences","IL","Undergraduate","158"
"2020","143358","Bradley University","IL","Graduate","1281"
"2020","143358","Bradley University","IL","Undergraduate","4574"
"2020","143659","Catholic Theological Union at Chicago","IL","Graduate","227"
"2020","454227","Chamberlain University-Illinois","IL","Graduate","14630"
"2020","454227","Chamberlain University-Illinois","IL","Undergraduate","14851"
"2020","144005","Chicago State University","IL","Graduate","959"
"2020","144005","Chicago State University","IL","Undergraduate","1685"
"2020","144014","Chicago Theological Seminary","IL","Graduate","294"
"2020","144281","Columbia College Chicago","IL","Graduate","227"
"2020","144281","Columbia College Chicago","IL","Undergraduate","6542"
"2020","144351","Concordia University-Chicago","IL","Graduate","4953"
"2020","144351","Concordia University-Chicago","IL","Undergraduate","1538"
"2020","144740","DePaul University","IL","Graduate","7777"
"2020","144740","DePaul University","IL","Undergraduate","14145"
"2020","482477","DeVry University-Illinois","IL","Graduate","3658"
"2020","482477","DeVry University-Illinois","IL","Undergraduate","17174"
"2020","148496","Dominican University","IL","Graduate","1023"
"2020","148496","Dominican University","IL","Undergraduate","2166"
"2020","144883","East-West University","IL","Undergraduate","419"
"2020","144892","Eastern Illinois University","IL","Graduate","1657"
"2020","144892","Eastern Illinois University","IL","Undergraduate","6969"
